word,translation,language,category,subcategory,part_of_speech,difficulty_level,curriculum_level,example_sentence,example_translation,phonetic,gender,irregular_forms,synonyms,antonyms,tags,article,base_word,
enero,January,es,basics_core_language,months,noun,beginner,KS3,Mi cumpleaños es en enero.,My birthday is in January.,/eˈneɾo/,m,,,,month;calendar,el,enero,
febrero,February,es,basics_core_language,months,noun,beginner,KS3,Febrero es el mes más corto.,February is the shortest month.,/feˈβɾeɾo/,m,,,,month;calendar,el,febrero,
marzo,March,es,basics_core_language,months,noun,beginner,KS3,La primavera empieza en marzo.,Spring begins in March.,/ˈmaɾθo/,m,,,,month;calendar,el,marzo,
abril,April,es,basics_core_language,months,noun,beginner,KS3,Abril es un mes lluvioso.,April is a rainy month.,/aˈβɾil/,m,,,,month;calendar,el,abril,
mayo,May,es,basics_core_language,months,noun,beginner,KS3,En mayo hay flores.,There are flowers in May.,/ˈmaʝo/,m,,,,month;calendar,el,mayo,
junio,June,es,basics_core_language,months,noun,beginner,KS3,Las vacaciones empiezan en junio.,Holidays start in June.,/ˈxunjo/,m,,,,month;calendar,el,junio,
julio,July,es,basics_core_language,months,noun,beginner,KS3,Julio es un mes caluroso.,July is a hot month.,/ˈxuljo/,m,,,,month;calendar,el,julio,
agosto,August,es,basics_core_language,months,noun,beginner,KS3,En agosto hace calor.,It is hot in August.,/aˈɣosto/,m,,,,month;calendar,el,agosto,
septiembre,September,es,basics_core_language,months,noun,beginner,KS3,La escuela empieza en septiembre.,School starts in September.,/sepˈtjembre/,m,,,,month;calendar,el,septiembre,
octubre,October,es,basics_core_language,months,noun,beginner,KS3,Octubre es el mes de Halloween.,October is the month of Halloween.,/okˈtuβɾe/,m,,,,month;calendar,el,octubre,
noviembre,November,es,basics_core_language,months,noun,beginner,KS3,Noviembre es un mes frío.,November is a cold month.,/noˈβjembre/,m,,,,month;calendar,el,noviembre,
diciembre,December,es,basics_core_language,months,noun,beginner,KS3,En diciembre celebramos la Navidad.,We celebrate Christmas in December.,/diˈθjembre/,m,,,,month;calendar,el,diciembre,
madre,mother,es,identity_personal_life,family_friends,noun,beginner,KS3,Mi madre es profesora.,My mother is a teacher.,/ˈmaðɾe/,f,,,,family,la,madre,
padre,father,es,identity_personal_life,family_friends,noun,beginner,KS3,Mi padre trabaja en un hospital.,My father works in a hospital.,/ˈpaðɾe/,m,,,,family,el,padre,
padres,parents,es,identity_personal_life,family_friends,noun,beginner,KS3,Mis padres son amables.,My parents are kind.,/ˈpaðɾes/,m pl,,,,family,los,padres,
hermano,brother,es,identity_personal_life,family_friends,noun,beginner,KS3,Mi hermano juega al fútbol.,My brother plays football.,/eɾˈmano/,m,,,,family,el,hermano,
hermana,sister,es,identity_personal_life,family_friends,noun,beginner,KS3,Mi hermana estudia medicina.,My sister studies medicine.,/eɾˈmana/,f,,,,family,la,hermana,
hermanos,siblings,es,identity_personal_life,family_friends,noun,beginner,KS3,Tengo dos hermanos.,I have two siblings.,/eɾˈmanos/,m pl,,,,family,los,hermanos,
hijo,son,es,identity_personal_life,family_friends,noun,beginner,KS3,Su hijo es muy inteligente.,His son is very smart.,/ˈixo/,m,,,,family,el,hijo,
hija,daughter,es,identity_personal_life,family_friends,noun,beginner,KS3,Su hija es simpática.,His daughter is friendly.,/ˈixa/,f,,,,family,la,hija,
abuela,grandmother,es,identity_personal_life,family_friends,noun,beginner,KS3,Mi abuela cocina muy bien.,My grandmother cooks very well.,/aˈβwela/,f,,,,family,la,abuela,
abuelo,grandfather,es,identity_personal_life,family_friends,noun,beginner,KS3,Mi abuelo vive en el campo.,My grandfather lives in the countryside.,/aˈβwelo/,m,,,,family,el,abuelo,
tía,aunt,es,identity_personal_life,family_friends,noun,beginner,KS3,Mi tía es doctora.,My aunt is a doctor.,/ˈtia/,f,,,,family,la,tía,
tío,uncle,es,identity_personal_life,family_friends,noun,beginner,KS3,Mi tío es ingeniero.,My uncle is an engineer.,/ˈtio/,m,,,,family,el,tío,
primo,cousin (male),es,identity_personal_life,family_friends,noun,beginner,KS3,Mi primo vive en Madrid.,My (male) cousin lives in Madrid.,/ˈpɾimo/,m,,,,family,el,primo,
prima,cousin (female),es,identity_personal_life,family_friends,noun,beginner,KS3,Mi prima estudia arte.,My (female) cousin studies art.,/ˈpɾima/,f,,,,family,la,prima,
mejor amigo,best friend (male),es,identity_personal_life,family_friends,noun,beginner,KS3,Mi mejor amigo se llama Juan.,My best friend is called Juan.,/meˈxoɾ aˈmiɣo/,m,,,,friendship,el,mejor amigo,
mejor amiga,best friend (female),es,identity_personal_life,family_friends,noun,beginner,KS3,Mi mejor amiga es muy divertida.,My best friend is very fun.,/meˈxoɾ aˈmiɣa/,f,,,,friendship,la,mejor amiga,
amigo,friend (male),es,identity_personal_life,family_friends,noun,beginner,KS3,Mi amigo juega conmigo.,My friend plays with me.,/aˈmiɣo/,m,,,,friendship,el,amigo,
amiga,friend (female),es,identity_personal_life,family_friends,noun,beginner,KS3,Mi amiga es simpática.,My friend is friendly.,/aˈmiɣa/,f,,,,friendship,la,amiga,
familia,family,es,identity_personal_life,family_friends,noun,beginner,KS3,Mi familia es grande.,My family is big.,/faˈmilja/,f,,,,family,la,familia,
alto,tall,es,identity_personal_life,physical_personality_descriptions,adjective,beginner,KS3,Mi hermano es alto.,My brother is tall.,/ˈalto/,m,,,,description,,alto,
alta,tall,es,identity_personal_life,physical_personality_descriptions,adjective,beginner,KS3,Mi hermana es alta.,My sister is tall.,/ˈalta/,f,,,,description,,alta,
bajo,short,es,identity_personal_life,physical_personality_descriptions,adjective,beginner,KS3,Mi padre es bajo.,My father is short.,/ˈbaxo/,m,,,,description,,bajo,
baja,short,es,identity_personal_life,physical_personality_descriptions,adjective,beginner,KS3,Mi madre es baja.,My mother is short.,/ˈbaxa/,f,,,,description,,baja,
joven,young,es,identity_personal_life,physical_personality_descriptions,adjective,beginner,KS3,Mi primo es joven.,My cousin is young.,/ˈxoβen/,,,,description,,joven,,
viejo,old,es,identity_personal_life,physical_personality_descriptions,adjective,beginner,KS3,Mi abuelo es viejo.,My grandfather is old.,/ˈbjexo/,m,,,,description,,viejo,
vieja,old,es,identity_personal_life,physical_personality_descriptions,adjective,beginner,KS3,Mi abuela es vieja.,My grandmother is old.,/ˈbjexa/,f,,,,description,,vieja,
guapo,handsome,es,identity_personal_life,physical_personality_descriptions,adjective,beginner,KS3,Mi amigo es guapo.,My friend is handsome.,/ˈɡwapo/,m,,,,description,,guapo,
bonita,beautiful,es,identity_personal_life,physical_personality_descriptions,adjective,beginner,KS3,Mi amiga es bonita.,My friend is beautiful.,/boˈnita/,f,,,,description,,bonita,
rubio,blonde,es,identity_personal_life,physical_personality_descriptions,adjective,beginner,KS3,Mi hermano es rubio.,My brother is blonde.,/ˈruβjo/,m,,,,description,,rubio,
rubia,blonde,es,identity_personal_life,physical_personality_descriptions,adjective,beginner,KS3,Mi hermana es rubia.,My sister is blonde.,/ˈruβja/,f,,,,description,,rubia,
moreno,brunette,es,identity_personal_life,physical_personality_descriptions,adjective,beginner,KS3,Mi padre es moreno.,My father is brunette.,/moˈɾeno/,m,,,,description,,moreno,
morena,brunette,es,identity_personal_life,physical_personality_descriptions,adjective,beginner,KS3,Mi madre es morena.,My mother is brunette.,/moˈɾena/,f,,,,description,,morena,
amable,kind,es,identity_personal_life,physical_personality_descriptions,adjective,beginner,KS3,Mi abuela es amable.,My grandmother is kind.,/aˈmaβle/,,,,description,,amable,,
gracioso,funny,es,identity_personal_life,physical_personality_descriptions,adjective,beginner,KS3,Mi tío es gracioso.,My uncle is funny.,/ɡɾaˈθjoso/,m,,,,description,,gracioso,
graciosa,funny,es,identity_personal_life,physical_personality_descriptions,adjective,beginner,KS3,Mi tía es graciosa.,My aunt is funny.,/ɡɾaˈθjosa/,f,,,,description,,graciosa,
inteligente,smart,es,identity_personal_life,physical_personality_descriptions,adjective,beginner,KS3,Mi primo es inteligente.,My cousin is smart.,/intelixˈxente/,,,,description,,inteligente,,
tímido,shy,es,identity_personal_life,physical_personality_descriptions,adjective,beginner,KS3,Mi amigo es tímido.,My friend is shy.,/ˈtimido/,m,,,,description,,tímido,
tímida,shy,es,identity_personal_life,physical_personality_descriptions,adjective,beginner,KS3,Mi amiga es tímida.,My friend is shy.,/ˈtimida/,f,,,,description,,tímida,
perezoso,lazy,es,identity_personal_life,physical_personality_descriptions,adjective,beginner,KS3,Mi hermano es perezoso.,My brother is lazy.,/peɾeˈθoso/,m,,,,description,,perezoso,
perezosa,lazy,es,identity_personal_life,physical_personality_descriptions,adjective,beginner,KS3,Mi hermana es perezosa.,My sister is lazy.,/peɾeˈθosa/,f,,,,description,,perezosa,
trabajador,hard-working,es,identity_personal_life,physical_personality_descriptions,adjective,beginner,KS3,Mi padre es trabajador.,My father is hard-working.,/tɾabaˈxaðoɾ/,m,,,,description,,trabajador,
trabajadora,hard-working,es,identity_personal_life,physical_personality_descriptions,adjective,beginner,KS3,Mi madre es trabajadora.,My mother is hard-working.,/tɾabaˈxaðoɾa/,f,,,,description,,trabajadora,
simpático,friendly,es,identity_personal_life,physical_personality_descriptions,adjective,beginner,KS3,Mi amigo es simpático.,My friend is friendly.,/simˈpatiko/,m,,,,description,,simpático,
simpática,friendly,es,identity_personal_life,physical_personality_descriptions,adjective,beginner,KS3,Mi amiga es simpática.,My friend is friendly.,/simˈpatika/,f,,,,description,,simpática,
serio,serious,es,identity_personal_life,physical_personality_descriptions,adjective,beginner,KS3,Mi tío es serio.,My uncle is serious.,/ˈseɾjo/,m,,,,description,,serio,
seria,serious,es,identity_personal_life,physical_personality_descriptions,adjective,beginner,KS3,Mi tía es seria.,My aunt is serious.,/ˈseɾja/,f,,,,description,,seria,
delgado,thin,es,identity_personal_life,physical_personality_descriptions,adjective,beginner,KS3,Mi primo es delgado.,My cousin is thin.,/delˈɣaðo/,m,,,,description,,delgado,
delgada,thin,es,identity_personal_life,physical_personality_descriptions,adjective,beginner,KS3,Mi prima es delgada.,My cousin is thin.,/delˈɣaða/,f,,,,description,,delgada,
fuerte,strong,es,identity_personal_life,physical_personality_descriptions,adjective,beginner,KS3,Mi hermano es fuerte.,My brother is strong.,/ˈfweɾte/,,,,description,,fuerte,,
perro,dog,es,identity_personal_life,pets,noun,beginner,KS3,Tengo un perro.,I have a dog.,/ˈpero/,m,,,,pet,el,perro,
gato,cat,es,identity_personal_life,pets,noun,beginner,KS3,Mi gato duerme mucho.,My cat sleeps a lot.,/ˈɡato/,m,,,,pet,el,gato,
pez,fish,es,identity_personal_life,pets,noun,beginner,KS3,El pez nada en el acuario.,The fish swims in the aquarium.,/peθ/,m,,,,pet,el,pez,
pájaro,bird,es,identity_personal_life,pets,noun,beginner,KS3,El pájaro canta.,The bird sings.,/ˈpaxaro/,m,,,,pet,el,pájaro,
conejo,rabbit,es,identity_personal_life,pets,noun,beginner,KS3,El conejo come zanahorias.,The rabbit eats carrots.,/koˈnexo/,m,,,,pet,el,conejo,
hámster,hamster,es,identity_personal_life,pets,noun,beginner,KS3,El hámster es pequeño.,The hamster is small.,/ˈamster/,m,,,,pet,el,hámster,
cobaya,guinea pig,es,identity_personal_life,pets,noun,beginner,KS3,La cobaya es simpática.,The guinea pig is friendly.,/koˈβaʝa/,f,,,,pet,la,cobaya,
tortuga,turtle,es,identity_personal_life,pets,noun,beginner,KS3,La tortuga es lenta.,The turtle is slow.,/toɾˈtuɣa/,f,,,,pet,la,tortuga,
caballo,horse,es,identity_personal_life,pets,noun,beginner,KS3,El caballo corre rápido.,The horse runs fast.,/kaˈβaʎo/,m,,,,pet,el,caballo,
loro,parrot,es,identity_personal_life,pets,noun,beginner,KS3,El loro repite palabras.,The parrot repeats words.,/ˈloɾo/,m,,,,pet,el,loro,
me llamo,my name is,es,identity_personal_life,personal_information,phrase,beginner,KS3,Me llamo Ana.,My name is Ana.,/me ˈʝamo/,,,,personal_info,,me llamo,,
soy,I am,es,identity_personal_life,personal_information,verb,beginner,KS3,Soy estudiante.,I am a student.,/soj/,,,,personal_info,,soy,,
soy de,I am from,es,identity_personal_life,personal_information,phrase,beginner,KS3,Soy de España.,I am from Spain.,/soj de/,,,,personal_info,,soy de,,
vivo en,I live in,es,identity_personal_life,personal_information,phrase,beginner,KS3,Vivo en Madrid.,I live in Madrid.,/ˈbiβo en/,,,,personal_info,,vivo en,,
tengo __ años,I am __ years old,es,identity_personal_life,personal_information,phrase,beginner,KS3,Tengo quince años.,I am fifteen years old.,/ˈteŋgo ˈaɲos/,,,,personal_info,,tengo años,,
¿cómo te llamas?,what is your name?,es,identity_personal_life,personal_information,phrase,beginner,KS3,¿Cómo te llamas?,What is your name?,/ˈkomo te ˈʝamas/,,,,personal_info,,cómo te llamas,,
¿de dónde eres?,where are you from?,es,identity_personal_life,personal_information,phrase,beginner,KS3,¿De dónde eres?,Where are you from?,/de ˈðonde ˈeɾes/,,,,personal_info,,de dónde eres,,
¿cuántos años tienes?,how old are you?,es,identity_personal_life,personal_information,phrase,beginner,KS3,¿Cuántos años tienes?,How old are you?,/ˈkwantos ˈaɲos ˈtjenez/,,,,personal_info,,cuántos años tienes,,
¿dónde vives?,where do you live?,es,identity_personal_life,personal_information,phrase,beginner,KS3,¿Dónde vives?,Where do you live?,/ˈðonde ˈbiβes/,,,,personal_info,,dónde vives,,
¿quién eres?,who are you?,es,identity_personal_life,personal_information,phrase,beginner,KS3,¿Quién eres?,Who are you?,/ˈkjɛn ˈeɾes/,,,,personal_info,,quién eres,,
mi cumpleaños es,my birthday is,es,identity_personal_life,personal_information,phrase,beginner,KS3,Mi cumpleaños es el cinco de mayo.,My birthday is the fifth of May.,/mi kumpleˈaɲos es/,,,,personal_info,,mi cumpleaños es,,
matemáticas,mathematics,es,school_jobs_future,school_subjects,noun,beginner,KS3,Las matemáticas son difíciles.,Mathematics is difficult.,/matemaˈtikas/,f pl,,,,subject,las,matemáticas,
ciencias,science,es,school_jobs_future,school_subjects,noun,beginner,KS3,Me gustan las ciencias.,I like science.,/ˈθjenθjas/,f pl,,,,subject,las,ciencias,
biología,biology,es,school_jobs_future,school_subjects,noun,beginner,KS3,La biología es interesante.,Biology is interesting.,/bjoˈloxia/,f,,,,subject,la,biología,
química,chemistry,es,school_jobs_future,school_subjects,noun,beginner,KS3,La química es mi asignatura favorita.,Chemistry is my favourite subject.,/ˈkimika/,f,,,,subject,la,química,
física,physics,es,school_jobs_future,school_subjects,noun,beginner,KS3,La física es complicada.,Physics is complicated.,/ˈfisiˌka/,f,,,,subject,la,física,
inglés,English,es,school_jobs_future,school_subjects,noun,beginner,KS3,Estudio inglés en la escuela.,I study English at school.,/inˈgles/,m,,,,subject,el,inglés,
español,Spanish,es,school_jobs_future,school_subjects,noun,beginner,KS3,El español es mi lengua materna.,Spanish is my native language.,/espaˈɲol/,m,,,,subject,el,español,
francés,French,es,school_jobs_future,school_subjects,noun,beginner,KS3,Aprendo francés.,I learn French.,/fɾanˈθes/,m,,,,subject,el,francés,
historia,history,es,school_jobs_future,school_subjects,noun,beginner,KS3,La historia es fascinante.,History is fascinating.,/isˈtoɾja/,f,,,,subject,la,historia,
geografía,geography,es,school_jobs_future,school_subjects,noun,beginner,KS3,La geografía es útil.,Geography is useful.,/xeoɣɾaˈfia/,f,,,,subject,la,geografía,
arte,art,es,school_jobs_future,school_subjects,noun,beginner,KS3,Me gusta el arte.,I like art.,/ˈaɾte/,m,,,,subject,el,arte,
música,music,es,school_jobs_future,school_subjects,noun,beginner,KS3,La música es divertida.,Music is fun.,/ˈmusika/,f,,,,subject,la,música,
educación física,PE,es,school_jobs_future,school_subjects,noun,beginner,KS3,La educación física es importante.,PE is important.,/eðukaˈθjon ˈfisika/,f,,,,subject,la,educación física,
informática,IT/computing,es,school_jobs_future,school_subjects,noun,beginner,KS3,Estudio informática.,I study computing.,/infoɾˈmatika/,f,,,,subject,la,informática,
se debe,you must,es,school_jobs_future,school_rules,phrase,beginner,KS3,Se debe llegar a tiempo.,You must arrive on time.,/se ˈðeβe/,,,,rule,,se debe,,
no se debe,you must not,es,school_jobs_future,school_rules,phrase,beginner,KS3,No se debe correr en los pasillos.,You must not run in the corridors.,/no se ˈðeβe/,,,,rule,,no se debe,,
se prohíbe,it is forbidden,es,school_jobs_future,school_rules,phrase,beginner,KS3,Se prohíbe usar el móvil.,It is forbidden to use the mobile phone.,/se pɾoˈiβe/,,,,rule,,se prohíbe,,
llegar a tiempo,arrive on time,es,school_jobs_future,school_rules,verb,beginner,KS3,Hay que llegar a tiempo.,You have to arrive on time.,/ʝeˈɣaɾ a ˈtjempo/,,,,rule,,llegar a tiempo,,
llevar uniforme,wear uniform,es,school_jobs_future,school_rules,verb,beginner,KS3,Debes llevar uniforme.,You must wear uniform.,/ʝeˈβaɾ uniˈfoɾme/,,,,rule,,llevar uniforme,,
respetar a los profesores,respect the teachers,es,school_jobs_future,school_rules,verb,beginner,KS3,Hay que respetar a los profesores.,You have to respect the teachers.,/respeˈtaɾ a los pɾofesoˈɾes/,,,,rule,,respetar a los profesores,,
correr en los pasillos,run in the corridors,es,school_jobs_future,school_rules,verb,beginner,KS3,No se debe correr en los pasillos.,You must not run in the corridors.,/koˈreɾ en los paˈsiʎos/,,,,rule,,correr en los pasillos,,
usar el móvil,use the mobile phone,es,school_jobs_future,school_rules,verb,beginner,KS3,Se prohíbe usar el móvil.,It is forbidden to use the mobile phone.,/uˈsaɾ el ˈmoβil/,,,,rule,,usar el móvil,,
libro,book,es,school_jobs_future,classroom_objects,noun,beginner,KS3,Leo un libro.,I read a book.,/ˈliβɾo/,m,,,,object,el,libro,
cuaderno,notebook,es,school_jobs_future,classroom_objects,noun,beginner,KS3,Escribo en mi cuaderno.,I write in my notebook.,/kwaˈðeɾno/,m,,,,object,el,cuaderno,
bolígrafo,pen,es,school_jobs_future,classroom_objects,noun,beginner,KS3,El bolígrafo es azul.,The pen is blue.,/boˈliɣɾafo/,m,,,,object,el,bolígrafo,
lápiz,pencil,es,school_jobs_future,classroom_objects,noun,beginner,KS3,El lápiz es nuevo.,The pencil is new.,/ˈlapis/,m,,,,object,el,lápiz,
goma,eraser,es,school_jobs_future,classroom_objects,noun,beginner,KS3,La goma está en la mesa.,The eraser is on the desk.,/ˈɡoma/,f,,,,object,la,goma,
regla,ruler,es,school_jobs_future,classroom_objects,noun,beginner,KS3,Uso la regla para dibujar.,I use the ruler to draw.,/ˈreɣla/,f,,,,object,la,regla,
sacapuntas,sharpener,es,school_jobs_future,classroom_objects,noun,beginner,KS3,El sacapuntas está roto.,The sharpener is broken.,/sakaˈpuntas/,m,,,,object,el,sacapuntas,
pizarra,board,es,school_jobs_future,classroom_objects,noun,beginner,KS3,La profesora escribe en la pizarra.,The teacher writes on the board.,/piˈθara/,f,,,,object,la,pizarra,
ordenador,computer,es,school_jobs_future,classroom_objects,noun,beginner,KS3,El ordenador es rápido.,The computer is fast.,/oɾðenaˈðoɾ/,m,,,,object,el,ordenador,
mesa,desk,es,school_jobs_future,classroom_objects,noun,beginner,KS3,La mesa está limpia.,The desk is clean.,/ˈmesa/,f,,,,object,la,mesa,
silla,chair,es,school_jobs_future,classroom_objects,noun,beginner,KS3,La silla es cómoda.,The chair is comfortable.,/ˈsiʎa/,f,,,,object,la,silla,
profesor,teacher (male),es,school_jobs_future,professions_jobs,noun,beginner,KS3,El profesor explica la lección.,The teacher explains the lesson.,/pɾofeˈsoɾ/,m,,,,job,el,profesor,
profesora,teacher (female),es,school_jobs_future,professions_jobs,noun,beginner,KS3,La profesora es simpática.,The teacher is friendly.,/pɾofeˈsoɾa/,f,,,,job,la,profesora,
médico,doctor (male),es,school_jobs_future,professions_jobs,noun,beginner,KS3,El médico trabaja en el hospital.,The doctor works in the hospital.,/ˈmeðiko/,m,,,,job,el,médico,
médica,doctor (female),es,school_jobs_future,professions_jobs,noun,beginner,KS3,La médica ayuda a los pacientes.,The doctor helps the patients.,/ˈmeðika/,f,,,,job,la,médica,
enfermero,nurse (male),es,school_jobs_future,professions_jobs,noun,beginner,KS3,El enfermero cuida a los enfermos.,The nurse takes care of the sick.,/enfeɾˈmeɾo/,m,,,,job,el,enfermero,
enfermera,nurse (female),es,school_jobs_future,professions_jobs,noun,beginner,KS3,La enfermera es amable.,The nurse is kind.,/enfeɾˈmeɾa/,f,,,,job,la,enfermera,
ingeniero,engineer (male),es,school_jobs_future,professions_jobs,noun,beginner,KS3,El ingeniero diseña puentes.,The engineer designs bridges.,/inxeˈnjeɾo/,m,,,,job,el,ingeniero,
ingeniera,engineer (female),es,school_jobs_future,professions_jobs,noun,beginner,KS3,La ingeniera trabaja en una empresa.,The engineer works in a company.,/inxeˈnjeɾa/,f,,,,job,la,ingeniera,
abogado,lawyer (male),es,school_jobs_future,professions_jobs,noun,beginner,KS3,El abogado defiende a sus clientes.,The lawyer defends his clients.,/aboˈɣaðo/,m,,,,job,el,abogado,
abogada,lawyer (female),es,school_jobs_future,professions_jobs,noun,beginner,KS3,La abogada trabaja en un bufete.,The lawyer works in a law firm.,/aboˈɣaða/,f,,,,job,la,abogada,
camarero,waiter (male),es,school_jobs_future,professions_jobs,noun,beginner,KS3,El camarero sirve la comida.,The waiter serves the food.,/kamaˈɾeɾo/,m,,,,job,el,camarero,
camarera,waitress (female),es,school_jobs_future,professions_jobs,noun,beginner,KS3,La camarera es rápida.,The waitress is fast.,/kamaˈɾeɾa/,f,,,,job,la,camarera,
cocinero,cook/chef (male),es,school_jobs_future,professions_jobs,noun,beginner,KS3,El cocinero prepara la cena.,The chef prepares dinner.,/koθiˈneɾo/,m,,,,job,el,cocinero,
cocinera,cook/chef (female),es,school_jobs_future,professions_jobs,noun,beginner,KS3,La cocinera cocina muy bien.,The chef cooks very well.,/koθiˈneɾa/,f,,,,job,la,cocinera,
mecánico,mechanic (male),es,school_jobs_future,professions_jobs,noun,beginner,KS3,El mecánico repara coches.,The mechanic repairs cars.,/meˈkaniko/,m,,,,job,el,mecánico,
mecánica,mechanic (female),es,school_jobs_future,professions_jobs,noun,beginner,KS3,La mecánica arregla motos.,The mechanic fixes motorbikes.,/meˈkanika/,f,,,,job,la,mecánica,
policía,police officer,es,school_jobs_future,professions_jobs,noun,beginner,KS3,La policía ayuda a la gente.,The police officer helps people.,/poliˈθia/,f,,,,job,la,policía,
bombero,firefighter (male),es,school_jobs_future,professions_jobs,noun,beginner,KS3,El bombero apaga incendios.,The firefighter puts out fires.,/bomˈbeɾo/,m,,,,job,el,bombero,
bombera,firefighter (female),es,school_jobs_future,professions_jobs,noun,beginner,KS3,La bombera es valiente.,The firefighter is brave.,/bomˈbeɾa/,f,,,,job,la,bombera,
quiero ser…,I want to be…,es,school_jobs_future,future_ambitions,phrase,beginner,KS3,Quiero ser médico.,I want to be a doctor.,/ˈkjeɾo seɾ/,,,,ambition,,quiero ser…,,
me gustaría…,I would like to…,es,school_jobs_future,future_ambitions,phrase,beginner,KS3,Me gustaría viajar.,I would like to travel.,/me ɣustaˈɾia/,,,,ambition,,me gustaría…,,
voy a estudiar…,I’m going to study…,es,school_jobs_future,future_ambitions,phrase,beginner,KS3,Voy a estudiar medicina.,I’m going to study medicine.,/boj a estuˈðjaɾ/,,,,ambition,,voy a estudiar…,,
trabajar,to work,es,school_jobs_future,future_ambitions,verb,beginner,KS3,Quiero trabajar en el extranjero.,I want to work abroad.,/tɾabaˈxaɾ/,,,,ambition,,trabajar,,
viajar,to travel,es,school_jobs_future,future_ambitions,verb,beginner,KS3,Me encanta viajar.,I love to travel.,/bjaˈxaɾ/,,,,ambition,,viajar,,
ganar dinero,to earn money,es,school_jobs_future,future_ambitions,verb,beginner,KS3,Quiero ganar dinero.,I want to earn money.,/ɡaˈnaɾ diˈneɾo/,,,,ambition,,ganar dinero,,
ir a la universidad,to go to university,es,school_jobs_future,future_ambitions,phrase,beginner,KS3,Quiero ir a la universidad.,I want to go to university.,/iɾ a la uniβeɾsiˈðað/,,,,ambition,,ir a la universidad,,
tener una familia,to have a family,es,school_jobs_future,future_ambitions,phrase,beginner,KS3,Me gustaría tener una familia.,I would like to have a family.,/teˈneɾ una faˈmilja/,,,,ambition,,tener una familia,,
trabajador,hard-working,es,school_jobs_future,qualities_for_jobs,adjective,beginner,KS3,Es un trabajador excelente.,He is an excellent hard worker.,/tɾabaˈxaðoɾ/,m,,,,quality,,trabajador,
responsable,responsible,es,school_jobs_future,qualities_for_jobs,adjective,beginner,KS3,Ella es muy responsable.,She is very responsible.,/responˈsaβle/,,,,quality,,responsable,,
organizado,organized,es,school_jobs_future,qualities_for_jobs,adjective,beginner,KS3,Él es organizado.,He is organized.,/oɾɣaniˈθaðo/,m,,,,quality,,organizado,
creativo,creative,es,school_jobs_future,qualities_for_jobs,adjective,beginner,KS3,Es una persona creativa.,He/She is a creative person.,/kɾeaˈtibo/,m,,,,quality,,creativo,
sociable,sociable,es,school_jobs_future,qualities_for_jobs,adjective,beginner,KS3,Es muy sociable.,He/She is very sociable.,/soˈθjaβle/,,,,quality,,sociable,,
puntual,punctual,es,school_jobs_future,qualities_for_jobs,adjective,beginner,KS3,Siempre es puntual.,He/She is always punctual.,/punˈtwal/,,,,quality,,puntual,,
flexible,flexible,es,school_jobs_future,qualities_for_jobs,adjective,beginner,KS3,Es flexible con los horarios.,He/She is flexible with schedules.,/fleksˈiβle/,,,,quality,,flexible,,
inteligente,intelligent,es,school_jobs_future,qualities_for_jobs,adjective,beginner,KS3,Es un estudiante inteligente.,He/She is an intelligent student.,/intelixˈxente/,,,,quality,,inteligente,,
amable,kind,es,school_jobs_future,qualities_for_jobs,adjective,beginner,KS3,Es amable con todos.,He/She is kind to everyone.,/aˈmaβle/,,,,quality,,amable,,
Me despierto,I wake up,es,school_jobs_future,daily_routine_school,verb,beginner,KS3,Me despierto a las siete.,I wake up at seven.,/me ðesˈpjerto/,,,,routine,,despertarse,,
Me levanto,I get up,es,school_jobs_future,daily_routine_school,verb,beginner,KS3,Me levanto temprano.,I get up early.,/me leˈβanto/,,,,routine,,levantarse,,
